context,question,answer_text,answer_start
این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است. ساتنا جایگزینی برای چک های رمزدار بین بانکی است. چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود. سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,سقف انتقال وجه ساتنا  از طریق  همراه بانک, سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. ,96
این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است. ساتنا جایگزینی برای چک های رمزدار بین بانکی است. چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود. سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,سقف انتقال وجه ساتنا شعبه, حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. ,108
این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است. ساتنا جایگزینی برای چک های رمزدار بین بانکی است. چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود. سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,حداقل انتقال وجه ساتنا غیر حضوری, سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. ,96
این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است. ساتنا جایگزینی برای چک های رمزدار بین بانکی است. چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود. سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,حداقل انتقال وجه ساتنا  از طریق  اینترنت  بانک , سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. ,96
این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است. ساتنا جایگزینی برای چک های رمزدار بین بانکی است. چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود. سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,حداقل انتقال وجه ساتنا  از طریق  نت  بانک , سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. ,96
این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است. ساتنا جایگزینی برای چک های رمزدار بین بانکی است. چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود. سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,حداقل انتقال وجه ساتنا  از طریق  موبایل بانک, سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. ,96
این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است. ساتنا جایگزینی برای چک های رمزدار بین بانکی است. چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود. سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,حداقل انتقال وجه ساتنا  از طریق  همراه بانک, سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. ,96
این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است. ساتنا جایگزینی برای چک های رمزدار بین بانکی است. چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود. سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,حداقل انتقال وجه ساتنا شعبه, حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. ,108
این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است. ساتنا جایگزینی برای چک های رمزدار بین بانکی است. چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود. سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,حداکثر انتقال وجه ساتنا غیر حضوری, سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. ,96
این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است. ساتنا جایگزینی برای چک های رمزدار بین بانکی است. چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود. سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,حداکثر انتقال وجه ساتنا  از طریق  اینترنت  بانک , سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. ,96
این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است. ساتنا جایگزینی برای چک های رمزدار بین بانکی است. چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود. سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,حداکثر انتقال وجه ساتنا  از طریق  نت  بانک , سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. ,96
این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است. ساتنا جایگزینی برای چک های رمزدار بین بانکی است. چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود. سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,حداکثر انتقال وجه ساتنا  از طریق  موبایل بانک, سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. ,96
این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است. ساتنا جایگزینی برای چک های رمزدار بین بانکی است. چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود. سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,حداکثر انتقال وجه ساتنا  از طریق  همراه بانک, سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. ,96
