question,answer
"طریقه نصب برنامه امضا تجارت برروی گوشی موبایل چگونه می باشد؟","پس از دریافت فایل نصبی از برنامه،(mybajet.ir) مراحل زیر را طی کنید: 1.فایل نصبی برنامه را در گوشی موبایل اجرا نموده و در صورت نیاز، مجوز نصب آن را صادر نمایید 2.در پنجره نمایش داده شده برروی گزینه Install کلیک کنید و منتظر بمانید تا فرآیند نصب پایان پذیرد. 3.پس از اتمام موفقیت آمیز فرآیند نصب، با انتخاب گزینه Open برنامه را اجرا نمایید."
"  نحوه فعال سازی برنامه امضای تجارت چگونه می باشد؟","پس از اولین بار اجرا نمودن برنامه امضای تجارت مراحل زیر راطی کنید: 1.در پیام نمایان شده با انتخاب گزینه بازکردن تنظیمات، مجوز لازم جهت اجرا شدن برنامه در پیش زمینه را صادر نمایید . از برقراری ارتباط با اینترنت اطمینان حاصل نمایید، سپس کدملی و شماره تلفن همراه خود را وارد نموده و دکمه ی مرحله بعد را انتخاب نمایید. 2.پس از دریافت کد احراز هویت، کد را در قسمت کد احراز هویت وارد نمایید و دکمه ی فعال سازی را انتخاب کنید. در صورتی که به هر دلیلی پس از مدت زمان تعیین شده، کد احرازهویت برایتان ارسال نگردید، می توانید با انتخاب دکمه ی درخواست مجدد کد فعالسازی، فرآیند ارسال مجدد کد احرازهویت به تلفن همراه خود را داشته باشید 3. با اتمام موفقیت آمیز فرایند فعال سازی، می توانید جهت مدیریت توکن اقدام نمایید."
"مراحل صدور امضاء الکترونیک تجارت کدامند؟","1) راه اندازی توکن امضای دیجیتال همراه برروی گوشی موبایل 2)نصب برنامه امضا تجارت برروی گوشی موبایل 3 )فعال سازی برنامه امضای تجارت 4)بازنشانی توکن همراه 5)تایید و ثبت مشخصات 6) پرداخت هزینه 7) احراز هویت متقاضی 8) صدور گواهینامه الکترونیکی 9) فعالسازی گواهینامه الکترونیکی"
"  مراحل بازنشانی توکن همراه چگونه می باشد؟","تعیین رمز کاربر : رمز کاربر تنها باید شامل حداقل 4 عدد و حداکثر 16 عدد باشد. در قسمت رمز مدیریتی، رمز مدیر مدنظر خود را وارد نمایید و آن را در قسمت تایید رمز مدیریتی نیز تکرار کنید. رمز مدیر حداقل باید شامل 4 کاراکتر و حداکثر 24 کاراکتر باشد و می¬تواند به صورت ترکیبی از اعداد انگلیسی و حروف تعریف شود که بزرگ و کوچک بودن حروف انتخابی تاثیر گذار می¬باشد. پس از تعیین رمز کاربری و رمز مدیریتی موردنظر، برروی گزینه بازنشانی کلیک نمایید تا فرآیند بازنشانی آغاز شود درصورتی که فرآیند بازنشانی با موفقیت پایان پذیرد، می¬توانید در پیام نمایش داده شده، با انتخاب گزینه تایید مستقیما از امکان صدور گواهینامه الکترونیکی برنامه امضای تجارت، برای دریافت گواهینامه از مرکز میانی، مطابق با توضیحات بند 2، بهره¬مند شوید."
"گواهی ( برنز ) امضای تجارت چیست؟","برای انجام تراکنش­هایی که نیاز به احراز هویت، انکار ناپذیری و یا محرمانگی دارند،استفاده میشود. برای دریافت این سطح از گواهینامه نیاز به احراز هویت غیر حضوری می باشد."
"گواهی ( نقره ای ) امضای تجارت چیست؟","برای انجام تراکنش­هایی که نیاز به احراز هویت، انکار ناپذیری و یا محرمانگی دارند،استفاده میشود. برای دریافت این سطح از گواهینامه نیاز به احراز هویت حضوری می باشد."
"نرم افزار امضاء الکترونیک بر روی چه مدل گوشی هایی قابل نصب می باشد؟","در حال حاضر فقط گوشی های اندروید"
"حداقل ورژن مورد نیاز گوشی برای نصب نرم افزار امضاء الکترونیک چیست؟","اندروید 6"
"مدت زمان اعتبار گواهی امضاء از طریق نرم افزار امضای تجارت چند سال است؟","2سال"
"در صورت تغییر گوشی همراه و یا حذف برنامه امضای تجارت چگونه مجددا آنرا نصب نماییم؟","مجدداً می بایست نسبت به انجام فرآیند ثبت گواهی امضاء دیجیتال اقدام نمایید."
"آیا در صورت حذف برنامه امضای تجارت نصب مجدد آن مشمول پرداخت هزینه می باشد؟","خیر"
"در فرآیند ثبت نام امضای دیجیتال آیا نیاز به سریال کارت ملی می باشد؟","بله سریال کارت ملی , پشت کارت ملی می باشد و ترکیبی از اعداد و یک حرف می باشد"
"آیا با کارت ملی قدیمی میتوان فرآیند احرازهویت غیرحضوری ثبت گواهی امضاءرا انجام داد؟","در صورت نداشتن کارت ملی جدید ، داشتن کارت ملی قدیم به همراه کد رهگیری مشتری الزامی می باشد. نکته: در زمان استفاده کد رهگیری به جای سریال کارت ملی درج گردد ."
"در صورتی که خط تلفن همراه بنام مشتری نباشد آیا میتوان فرآیند احرازهویت غیرحضوری ثبت گواهی امضاء را انجام داد؟","خیر"
"در زمان نصب برنامه هزینه امضاء پرداخت شده ولی مجددا به درگاه پرداخت برگشت داده شده؟","باتوجه به اینکه پس از پرداخت هزینه نصب کد شناسه یکتا برای مشتری پیامک می گردد لذا در صورت بروز مشکل پرداخت ، مجددا از همان شناسه قبلی استفاده گردد . این شناسه برای مشتری پیامک شده و می تواند از پیامک خود بازیابی کند. در صورتی که با شناسه یکتا مشکل برطرف نشد و از حساب مشتری نیز مبلغ کسر شده باشد به لایه 2 ارجاع می شود .اما در صورتی که وجهی از مشتری کسر نشده باشد مشتری می بایست مجددا نسبت به پرداخت هزینه اقدام کند ."
"زمان پرداخت هزینه امضای تجارت مشتری از درگاه مربوطه رمز دوم پویا یا ثابت می بایست وارد کند؟","بله"
"علت مشاهده پیغام ID=6915 این موبایل در مالکیت شما نمی باشد چیست؟","سند شماره همراه باید متعلق به متقاضی باشد ."
"در حین انجام عملیات صدور گواهی در صورتیکه به هر علت فرآیند فعالسازی متوقف شد, جهت ورود مجدد چه اقدامی انجام دهیم؟","از منوی مدیریت گواهینامه -> صدور گواهی جدید نسبت به ادامه عملیات فعالسازی انتخاب شود."
"آیا با داشتن ماسک ، کلاه و عینک غیر طبی تطبیق چهره در زمان نصب امضائ الکترونیک میسر می باشد؟","خیر"
"کارمزد گواهی امضا در اپلیکیشن امضاء تجارت چند ریال می باشد؟","در حال حاضر مبلغ 239800 ریال می باشد ."
"علت مشاهده خطای خطا در دریافت اطلاعات درخواست چیست؟","تصویر عکس سلفی با عکس مرجع مطابقت ندارد."
"علت مشاهده خطای خطا در فرآیند کد خطای 1 در زمان صدور گواهی نامه الکترونیکی چیست؟","قطعی شبکه راهبر"
"علت مشاهده خطای مرکز صدور گواهی انتخاب شده در زمان دانلود گواهی امضای الکترونیک چیست؟","ارجاع به لایه دوم پشتیبانی"
"در صورت داشتن شناسه پرداخت و قطعی برنامه به هر علت و عدم امکان در ادامه عملیات چه اقدامی گردد؟","ارجاع به لایه دوم پشتیبانی"
"علت مشاهده خطای تراکنش مشکوک به تقلب بوده و سیستم بانکی از پرداخت با خطا مواجه شده است در زمان پرداخت هزینه امضای الکترونیک چیست؟","موجودی حساب مشتری کافی می باشد ."
"ساعات واریز ساتنا به چه صورت است؟","از طریق درگاه های غیر حضوری از 7:30 صبح تا 14:15 (بخشنامه 2101 مورخ 1401/03/01) برای شعب 13:45 (شنبه لغايت چهارشنبه روزهاي کاري) روزهای پنجشنبه 12:15 می باشد"
"کارمزد ساتنا چقدر است؟","دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان می باشد ."
"انتقال وجه ساتنا از همراه بانک چقدر است؟","ساتنا تراکنش های بالاتر از 50 میلیون و تا سقف 100 میلیون تومان"
"انتقال وجه ساتنا از طریق اینترنت بانک چقدر است؟","ساتنا تراکنش های بالاتر از 50 میلیون و تا سقف 100 میلیون تومان"
"انتقال وجه ساتنا از طریق شعب چقدر است؟","شعب بانک صرفا مجاز به ارسال دستور پرداخت ساتنا برای مبالغ معادل و یا بیشتر از پانصد میلیون ریال می باشند."
"آیا مشتریان سایر بانک ها می توانند از خدمات ساتنا در شعب بانک تجارت استفاده نمایند؟","خیر/ علی رغم ممنوعیت انجام حواله های انتقال وجه بین بانکی ساتنا و پایا بدون وجود حساب مشتری متقاضی صدورحواله نزد بانک مبدأ دستورپرداخت، بعضاً مشاهده گردیده است برخی از شعب در صورت مراجعه دارنده چک عهده بانک تجارت، پس از وصول چک مربوطه در صورتیکه آورنده چک، فاقد حساب نزد بانک تجارت باشد نسبت به پذیرش و ارسال دستور پرداخت از مبدأ حسابی غیر از حساب شخص متقاضی صدور حواله اقدام می نمایند که این موضوع مغایر با مفاد ماده ) 96 آیین نامه اجرایی ماده 14 ( الحاقی قانون مبارزه با پولشویی مصوب 1398/07/21 هیأت محترم وزیران می باشد .)"
"آیا اتباع می توانند تراکنش ساتنا ( از هر درگاهی ) انجام دهند؟","خیر"
"آیا دستور پرداخت ساتنا را می توان کنسل کرد؟","خیر دستور پرداخت صادرشده پس از پذيرش آن توسط بانك قطعي و غیرقابل برگشت بوده و بانك متعهد است در تاريخ درخواست شده توسط مشتري تاريخ موثر وجه را به بانك ذينفع ارسال نمايد."
"آیا می توان از خودپرداز یا تلفنبانک انتقال وجه ساتنا انجام داد؟","خیر در حال حاضر سرویس ساتنا در خدمات خودپرداز و تلفنبانک وجود ندارد ."
"ساعت 6 بعد ازظهر می خواهم از همراه بانک انتقال وجه دهم ولی ساتنا قطع شده است؟","از 7:30 صبح تا 14:15 بخشنامه 2101 مورخ 1401/03/01 پس از ساعت مذکور امکان ساتنا وجود ندارد"
"از همراه بانک ساتنا انجام می دهم اما اعلام می کند ساتنا قطع است؟","ساتنا در روزهای جمعه و تعطیلات رسمی و در روزهای کاری بعد از ساعت کاری ( در حال حاضر 14:15 ) غیر فعال است ."
"ساعت 7:45 صبح مبلغی به حسابم از طریق ساتنا انتقال یافته ولی به حسابم واریز نشده است؟","اگر حساب مقصد تجارت ( صاحب حساب ) است ابتدا باید از پنل فرانگر تراکنش های مشتری( تجارت ) بررسی شود در صورتی که به حساب ایشان واریز نشده باشد و در صورتیکه مشتری( سایر بانک ها ) باشد و از تجارت برای ایشان ساتنا انجام شده باشد با داشتن شماره ارجاع تراکنش انتقال ساتنا , می توانیم شماره دایره ساتنا را به مشتری اعلام کنیم."
"از همراه بانک انتقال وجه ساتنا انجام می دهم اعلام می کند امکان انتقال ساتنا به حساب های تجارت مقدور نمیباشد؟","انتقال وجه ساتنا یک انتقال وجه بین بانکی است لذا مقصد شما باید شماره شبا 24 رقمی باشد .شما شماره حساب مقصد را شماره حساب تجارت وارد کرده اید به همین دلیل این پیغام را دریافت می کنید."
"در صورت عدم انجام تراکنش ساتنا در همراه بانک چه اقدامی انجام میگیرد؟","1)بررسی کد شهاب ( از فرانگر ) 2) بررسی رمز پویای حساب ( پنل پویا ) 3) بررسی مبلغ ( فرانگر ) 4) به مشتری اعلام شود حتما از منوی حساب /گزینه پایا و ساتنا انتخاب شود 5) به مشتری اعلام شود حتما شماره 24 رقمی شبا وارد گردد .حتما از پنل همراه بانک در قسمت EVENTLOG خطای ایجاد شده بررسی شود ."
"ساعات واریز پایا به چه صورت است؟","وجه انتقالی از ساعت 3:45 صبح تا 10:45 ساعت تا 11:15 -11 واریز میشود وجه انتقالی از ساعت 10:45 صبح تا 13:45ساعت 14-14:15 به بعد واریز میشود وجه انتقالی از ساعت 13:45 تا 18:45ساعت-19:15- 19واریز میشود وجه انتقالی از ساعت 18:45 تا 3:45 ساعت-4:30- 4 واریز میشود چرخه های انتقال در سامانه پایا بدون تغییر و کماکان دارای چهار چرخه 3:45 بامداد، 10:45 صبح ، 13:45 و 18:45 می باشد.بخشنامه 2101 مورخ 1401/03/01"
"کارمزد پایا چقدر است؟","یک صدم درصد وجه انتقالی و حداکثر 15 هزار تومان می باشد ."
"انتقال وجه پایا از همراه بانک چقدر است؟","حداکثر یک میلیارد ریال با رعایت سقف 500 میلیون ریال در هر تراکنش"
"انتقال وجه پایا از طریق اینترنت بانک چقدر است؟","حداکثر یک میلیارد ریال با رعایت سقف 500 میلیون ریال در هر تراکنش"
"انتقال وجه پایا از طریق شعب چقدر است؟","صرفا مجاز به ارسال دستور پرداخت پايا براي مبالغ معادل و يا كمتر از 1 ميليارد ريال مي باشند. توجه: از آنجائیكه در صورت ارسال مبلغ بیش از مبلغ مذكور از طريق سیستم پايا بانك مشمول جريمه اي معاادل 34 درصد مبلغ دستور پرداخت ) برای یک روز لذا کاربران شعب می بایست پرداخت های دستور پرداخت هاي با مبلغ بیش از 1 ميليارد ريال را از طريق سیستم ساتنا ارسال نمايند."
"آیا صادر کننده پایا از شعب حتما می بایست در بانک تجارت حساب داشته باشد؟","بله كلیه حسابهای تجارت قابل پذيرش مي باشد."
"آیا انتقال وجه پایا را می توان کنسل کرد؟","دستور پرداخت صادرشده پس از پذيرش آن توسط بانك قطعي و غیرقابال برگشت بوده و بانك متعهد است در تاريخ درخواست شده توسط مشتري تاريخ موثر وجه را به بانك ذينفع ارسال نمايد."
"آیا اتباع می توانند انتقال وجه پایا ( همراه بانک /اینترنتی بانک /شعب ) انجام دهند؟","بله /فقط 10 میلیون تومان"
"از همراه بانک پایا انجام داده ام اما نمی دانم برای چه کسی انتقال داده ام؟","پس از ورود به همراه بانک از قسمت خدمات ، گزینه سوابق تراکنش /تراکنش مورد نظر را جستجو و پس از باز کردن تراکنش , نام شخص مقصد مشخص است ."
"مبلغی طی پایا به حساب شخص دیگری واریز کردم امکان انتقال زودتر مقدور هست؟","خیر .تراکنش های پایا مطابق زمانبندی دستور العمل ابلاغی ( سطور بالا ) انجام می گردد ."
"رمز پویای خود را فعال کردم اما زمان انتقال وجه پایا از همراه بانک پیغام اطلاعات درگاه خود را اضافه کنید، مشاهده می گردد؟","مشتری برای این حساب رمز پویای حسابی ندارد لذا می بایست از گزینه خدمات /خدمات رمز پویا /پویا حسابی خود را فعال نماید ."
"تراکنش پایا از همراه بانک انجام داده ام اما همچنان وضعیت تراکنش را در حال انجام نشان می دهد آیا تراکنش انجام نشده است؟","از قسمت خدمات , سوابق تراکنش را انتخاب کنید و پس از انتخاب تراکنش مورد نظر , گزینه استعلام وضعیت را بزنید تا وضعیت جدید را به شما نشان دهد . در صورتی که موفق نشان دهد بدین معنی است که انتقال انجام شده است و می بایست از پایا بانک مقصد پیگیری شود و در صورتی که با استعلام وضعیت ناموفق نشان دهد می بایست از دایره پایا بانک تجارت پیگیری شود ."
"هنگام انجام تراکنش پایا از همراه بانک با پیغام شماره حساب مبدا نا معتبر است مواجه می شوم؟","شماره حساب را از پنل فرانگر چک می کنیم که نک حساب مشکلی نداشته باشد و نیز شخص فاقد کد شهاب نباشد و در صورت وجود اشکال در نک یا عدم وجود کد شهاب مشتری می بایست به شعبه خودش مراجعه نماید."
"پایا از طریق شعبه انجام شده ولی پس از 3 روز هنوز به حساب مقصد واریز نشده است؟","از دایره پایا توسط کارشناس پیگیری شود ."
"ساعات واریز حساب به حساب تجارت از ( درگاه های غیر حضوری ) به چه صورت است؟","زمانبندی خاصی ندارد و از طریق درگاه های غیر حضوری در هر ساعت از شبانه روز به صورت لحظه ای انجام می شود ."
"کارمزد انتقال حساب به حساب تجارت ( درگاه های غیر حضوری ) چقدر است؟","سیصد ریال"
"کارکرد انتقال وجه حساب به حساب تجارت از داخل شعب چقدر است؟","کارمزدی ندارد .دقت کنید از مشتری کارمزد برداشت از حساب مبدآ ( در صورتی که غیر از شعبه صاحب حساب باشد ) مبلغ 1200 تومان دریافت می شود .( بخشنامه تجمیعی 515 )"
"انتقال وجه تجارت به تجارت از همراه بانک چقدر است؟","تا سقف صد ( 100 ) میلیون تومان"
"انتقال وجه تجارت به تجارت از طریق اینترنت بانک چقدر است؟","تا سقف صد ( 100 ) میلیون تومان شایان ذکر است انتقال های داخلی برای حقوقی ها نامحدود است ."
"انتقال وجه تجارت به تجارت از خودپرداز چقدر است؟","تا سقف ده ( 10 ) میلیون تومان"
"انتقال وجه تجارت به تجارت از تلفنبانک چقدر است؟","تا سقف سه ( 3) میلیون تومان"
"آیا در حال حاضر انتقال وجه به حساب های تعریف شده ( از درگاه های غیر حضوری ) وجود دارد؟","خیر /سابقا هر مشتری می توانست برای خدمات بانکداری اینترنتی , همراه بانک و تلفنبانک از داخل شعبه به ازای هر حساب مبدأ , 5 تا حساب مقصد تجارت معرفی کند و به صورت نامحدود انتقال دهد اما در حال حاضر چنین امکانی وجود ندارد . شایان ذکر است گزینه انتقال به حساب های تعریف شده در بانکداری اینترنتی"
"آیا از شماره حساب می توان به شماره کارت ( از درگاه های غیر حضوری ) انتقال انجام داد؟","از طریق بانکداری اینترنتی ( فقط به شماره کارت تجارت و مبلغ 100 میلیون تومان ) بله اما از طریق همراه بانک و تلفنبانک خیر"
"آیا انتقال وجه حساب به حساب از همراه بانک و بانکداری اینترنتی در صورتی که حساب مبدآ و مقصد برای همان شخص باشد؟","طی استعلام از همراه بانک , انتقال وجه نامحدود حساب به حساب ( برای همان شخص ) وجود دارد اما طی استعلام از بانکداری اینترنتی این موضوع برای حساب های حقیقی خیر اما برای حساب های حقوقی صدق می کند . شایان ذکر است در این خصوص تا این لحظه بخشنامه ای در دست نیست ."
"امکان انتقال وجه از حسابم وجود ندارد؟","ممکن است حساب مبلغ مسدودی داشته باشد که باید از پنل سیمین از قسمت گزارش گیری /گزینه ردیف مسدودی را زده و بعد از ورود شماره حساب واحد مسدود کننده به مشتری را اعلام نماییم تا واحد مربوطه جهت رفع مسدودی اقدام نماید /ممکن است حساب کاملا مسدود باشد که باز هم باید از سیمین از قسمت گزارش گیری /گزارش تاریخچه تغییر وضعیت حساب /شماره حساب را وارد کرده و واحد مسدود کننده رار به مشتری اعلام نماییم تا از واحد ذیربط پیگیری کند ./ممکن است حساب خدمات الکترونیکی مسدود داشته باشد که باید مشتری به یکی از شعب راهنمایی شود تا خدمات نوین مشتری از طریق منوی 67 گزینه 5 رفع مسدودی مشود /ممکن است حساب مسدود الکترونیکی باشد در این صورت باید مشتری به شعبه مراجعه نماید و از منوی 55 رفع مسدودی شود / ممکن است کارت مشتری توسط 1554 مسدود شده باشد که در پنل سکان وضعیت کارت را مفقود شده اعلام می کند در اینصورت مشتری با مراجعه به شعبه و صدور مجدد کارت می تواند از حساب خود استفاده نماید /ممکن است وضعیت کارت در سکان مسدود شده باشد که در اینصورت اداره کارت و خدمات و نوین , کارت را مسدود کرده است که می بایست از این اداره پیگیری شود . شایان ذکر است می بایست موجودی حساب مشتری و سقف انتقال مجاز مشتری از طریق فرانگر بررسی شود."
"فرآیند مغایرت لوکال ( انتقال وجه بین حسابهای تجارت ) چگونه می باشد؟","در صورتی که 48 ساعت از تراکنش مشتری گذشته است و به حساب مشتری وجه عودت داده نشده است ( بررسی از طریق فرانگر ) و مشتری از همراه بانک و بانکداری اینترنتی باشد تراکنش را انجام داده است می بایست مشتری به کارشناسان مربوطه ارجاع دهیم .و در صورتی که از تلفنبانک باشد می بایست تیکت تراکنش را از طریق TBS به واحد تلفنبانک ارجاع دهیم .در صورتی که از خودپرداز انتقال انجام شده باشد می بایست از واحد مغایرت های لوکال پیگیری شود .(توجه **سابقا تیکت تهیه می شد اما در طول زمان واحد مربوطه پاسخگویی تیکت را انجام نمی دهد لذا فآیند پیگیری به صورت تلفنی می باشد)"
"انتقال حساب به حساب از همراه بانک /اینترنت بانک /تلفنبانک /خودپرداز انجام نمی شود؟","در صورتیکه مشتری از همراه بانک استفاده می کند پس از بررسی حساب(مبدأو مقصد ) طبق موارد بالا( در پنل فرانگر ) در صورتی که حساب مشکلی نداشت و نیز با بررسی تراکنش های مشتری سقف مجاز( 100 میلیون تومان ) برای انتقال ایشان تکمیل نشده بود , سپس ثبت نام همراه بانک مشتری را بررسی کرده و در صورتی که ثبت نام مشتری نیز مشکلی نداشت به مشتری یادآوری می کنیم حتما از منوی حساب ها و گزینه تجارت استفاده نماید ,ضمن اینکه باید پویای حساب مشتری فعال باشد .برای اطمینان از فعال بودن پویای حساب بدلیل نداشتن پنل پویا می توانیم مشتری را به کارشناسان همراه بانک ارجاع دهیم .در صورتی که مشتری از بانکداری اینترنتی انتقال انجام می دهد موارد همراه بانک برای اینترنت بانک نیز صدق می کند(سقف مجاز انتقال وجه حساب به حساب 100 میلیون تومان می باشد ) با این تفاوت که با توجه به اینکه به پنل بانکداری اینترنتی دسترسی نداریم بررسی ثبت نام در بانکداری اینترنتی به عهده کارشناسان بانکداری اینترنتی می باشد .در صورتی که مشتری از تلفنبانک انتقال را انجام می دهد ضمن بررسی حساب طبق توضیحات بالا و بررسی سقف ( در حال حاضر3 میلیون تومان می باشد ) با توجه به عدم دسترسی به پنل تلفنبانک باید تیکت عدم انتقال وجه را در TBS در قسمت خدمات نوین و انتخاب گزینه تلفنبانک ثبت نماییم .در صورتی که مشتری از خودپرداز تراکنش انجام می دهد .در صورتیکه مشتری از خودپرداز انتقال وجه انجام می دهد ضمن بررسی حساب ( مبدأ و مقصد ) و بررسی سقف مجاز انتقال از خودپرداز ( در حال حاضر 10 میلیون تومان ) می باشد .احتمالا مشکل از سامانه های داخلی بانک است ( به عنوان مثال ممکن است HOST بانک ) قطعی داشته باشد .لذا با پیگیری از واحدهای مربوطه , عدم انتقال وجه را بررسی می کنیم."
"رمز پویای خود را فعال کردم اما زمان انتقال وجه حساب به حساب تجارت از همراه بانک پیغام اطلاعات درگاه خود را اضافه کنید، مشاهده می گردد؟","مشتری برای این حساب رمز پویای حسابی ندارد لذا می بایست از گزینه خدمات /خدمات رمز پویا /پویا حسابی خود را فعال نماید ."
"در همراه بانک انتقال وجه از حسابم انجام می دهم اما اعلام می کند طول شماره حساب مقصد نامعتبر است؟","شما باید مقصد خود را حساب بانک تجارت قرار دهید و احتمالا شماره مقصد را کارت وارد می کنید"
"هنگام انجام تراکنش حساب به حساب تجارت از همراه بانک خطای رمز صحیح نمی باشد مشاهده می شود؟","در صورتی که رمز را از هریم دریافت می کند به مشتری یادآوری کنید حتما باید رمز 8 رقمی وارد کنید در صورتی که فونت گوشی بزرگ است و رمز را 6 رقم یا کمتر نشان می دهد حتما می بایست فونت گوشی اصلاح شود .در صورتی که رمز را از همراز دریافت می کند ابتدا باید ساعت گوشی مشتری چک شود که با ساعت جهانی یکسان باشد در صورتیکه ساعت درست بود ابتدا درگاه مربوطه ( منظور کد ملی مشتری ) از همراز حذف شود و یکبار دیگر مشتری از گزینه خدمات /خدمات رمز پویا /پویا حسابی اقدام به فعالسازی رمز پویا نماید."
"کارمزد انتقال کارت به کارت ( درگاه های غیر حضوری ) چقدر است؟","حداقل 6,000 ريال تا مبلغ ده میلیون ريال و به ازای هر ده میلیون ريال مازاد، مبلغ 2,400ريال اضافه شود."
"انتقال وجه کارت به کارت از همراه بانک چقدر است؟","در هر شبانه روز 10 میلیون تومان"
"آیا انتقال وجه شتابی در همراه بانک از مبدآ کارت سایر بانک ها امکان پذیر است؟","سابقا این خدمت در همراه بانک فعال بود اما در حال حاضر فعال نمی باشد ."
"انتقال وجه کارت به کارت از طریق اینترنت بانک چقدر است؟","در طول یک شبانه روز 10 میلیون تومان"
"انتقال وجه کارت به کارت از خودپرداز چقدر است؟","در هر شبانه روز 10 میلیون تومان"
"انتقال وجه کارت به کارت از تلفنبانک چقدر است؟","این سرویس فعلا در خدمات تلفنبانک نمی باشد ."
"انتقال وجه کارت به کارت ازPINPAD داخل شعب چقدر است؟","پانزده ( 15 ) میلیون تومان"
"آیا انتقال سه وجهی از PINPAD داخل شعب امکان پذیر است؟","با برقراري امكان انتقال وجه سه وجهي بین بانکي از طريق پايانه شعب، هريك از دارندگان كارت هاي خودپرداز بانك هاي عضو شتاب، مي توانند از طريق مراجعه به كليه شعب بانك نسبت به جابجايي وجه به كارت بانك بالا براساس ضوابط اقدام نمايند، بر اين اساس در انتقال سه وجهي، كارت بانك مبدأ و مقصد مي تواند يكي از كارت هاي شتابي فعال درطرح باشد )انتقال از تجارت كارت به كارت هاي شتابي / كارت هاي شتابي به تجارت كارت / كارت شتابي به كارت شتابي بخشنامه 412 متمم118 مورخ 1397/04/30"
"انتقال وجه کارت به کارت ازبرنامه های موبایل ( آپ و تاپ) چقدر است؟","سه میلیون تومان تبصره: در صورت پیوستن بانک ها و پرداخت سازها به هاب فناوران مالی این مبلغ تا 5 میلیون تومان افزایش می باشد."
"آیا همه اشخاص دارنده کارت می توانند انتقال وجه شتابی انجام دهند؟","خیر /افراد زیر 12 سال امکان انتقال وجه شتابی را ندارند ."
"در صورت عدم انتقال وجه کارت از مبدا تجارت چه کاری باید انجام داد؟","در صورتی که از خودپرداز باشد با چک کردن پنل فرانگر و اطمینان از عدم بازگشت وجه پس از 72 ساعت می بایست تیکت کدینگ 103 در TBSتوسط کارشناس تهیه شود. در صورتی که از همراه بانک باشد ابتدا پنل را چک کرده در صورتی که موفق باشد به مشتری اعلام می کنیم از شتاب بانک مقصد پیگیری کند اما در صورت ناموفق بودن و اطمینان از عدم برگشت وجه تیکت آن را برای همراه بانک ارسال می کنیم.در صورتی که از بانکداری اینترنتی باشد نیز فرآیند همراه بانک صادق می باشد."
